iter	Passed	Remaining
753	945	308
754	946	307
755	948	306
756	949	304
757	950	303
758	951	302
759	952	300
760	953	299
761	954	298
762	955	296
763	956	295
764	958	294
765	959	293
766	960	291
767	961	290
768	962	289
769	963	287
770	964	286
771	966	285
772	967	284
773	968	282
774	969	281
775	970	280
776	971	278
777	972	277
778	974	276
779	975	275
780	976	273
781	977	272
782	978	271
783	979	269
784	980	268
785	981	267
786	983	266
787	984	264
788	985	263
789	986	262
790	987	260
791	988	259
792	989	258
793	991	257
794	992	255
795	993	254
796	994	253
797	995	252
798	996	250
799	997	249
800	999	248
801	1000	246
802	1001	245
803	1002	244
804	1003	243
805	1004	241
806	1006	240
807	1007	239
808	1008	238
809	1009	236
810	1010	235
811	1011	234
812	1012	232
813	1013	231
814	1014	230
815	1015	229
816	1016	227
817	1017	226
818	1018	225
819	1020	223
820	1021	222
821	1022	221
822	1024	220
823	1025	219
824	1026	217
825	1027	216
826	1028	215
827	1030	213
828	1031	212
829	1032	211
830	1033	210
831	1034	208
832	1035	207
833	1036	206
834	1038	205
835	1039	203
836	1040	202
837	1041	201
838	1042	200
839	1043	198
840	1044	197
841	1045	196
842	1046	194
843	1048	193
844	1049	192
845	1050	191
846	1051	189
847	1052	188
848	1053	187
849	1054	186
850	1055	184
851	1056	183
852	1057	182
853	1059	181
854	1060	179
855	1061	178
856	1062	177
857	1063	176
858	1064	174
859	1065	173
860	1066	172
861	1067	170
862	1068	169
863	1070	168
864	1071	167
865	1072	165
866	1073	164
867	1074	163
868	1075	162
869	1076	160
870	1077	159
871	1078	158
872	1080	157
873	1081	155
874	1082	154
875	1083	153
876	1084	152
877	1085	150
878	1086	149
879	1087	148
880	1089	147
881	1090	145
882	1091	144
883	1092	143
884	1093	142
885	1094	140
886	1095	139
887	1096	138
888	1098	137
889	1099	135
890	1100	134
891	1101	133
892	1102	132
893	1103	130
894	1104	129
895	1105	128
896	1106	127
897	1107	125
898	1109	124
899	1110	123
900	1111	122
901	1112	120
902	1113	119
903	1114	118
904	1115	117
905	1116	115
906	1117	114
907	1119	113
908	1120	112
909	1121	110
910	1123	109
911	1124	108
912	1126	107
913	1127	106
914	1128	104
915	1129	103
916	1131	102
917	1132	101
918	1133	99
919	1134	98
920	1137	97
921	1138	96
922	1139	95
923	1140	93
924	1142	92
925	1143	91
926	1144	90
927	1145	88
928	1147	87
929	1148	86
930	1149	85
931	1150	83
932	1152	82
933	1153	81
934	1154	80
935	1156	79
936	1157	77
937	1158	76
938	1159	75
939	1161	74
940	1162	72
941	1163	71
942	1164	70
943	1165	69
944	1166	67
945	1167	66
946	1169	65
947	1170	64
948	1171	62
949	1172	61
950	1173	60
951	1174	59
952	1175	57
953	1176	56
954	1177	55
955	1178	54
956	1179	53
957	1180	51
958	1182	50
959	1183	49
960	1184	48
961	1185	46
962	1186	45
963	1187	44
964	1188	43
965	1189	41
966	1191	40
967	1192	39
968	1193	38
969	1194	36
